"legitimate","phishing","MeanDecreaseAccuracy","MeanDecreaseGini","Feature"
36.9696194632361,63.0251535667355,58.2083554918768,1163.92334092028,"SSLfinal_State"
38.3062118386948,43.4236639502674,48.168800450703,939.358127200057,"URL_of_Anchor"
29.2290108063209,35.76912951942,38.3212973449746,211.82387737782,"web_traffic"
26.812812491886,30.7934647961155,36.4145860523284,192.724360154858,"having_Sub_Domain"
20.5277077238829,19.5468402471468,26.1534104887113,166.001405116266,"index"
23.8194432038441,24.2940924876779,25.6846565424612,157.743060159159,"Prefix_Suffix"
33.4031978463565,31.0956147370577,38.7318632627672,130.08522127752,"Links_in_tags"
12.2971344142182,20.2465164431042,21.5195325350486,67.7947436699455,"Request_URL"
22.6002211234613,22.6799491641947,28.2183660814767,66.7518689528533,"SFH"
12.1250263097131,18.2108871466096,20.0152550882901,56.3617357309415,"Domain_registeration_length"
16.0174892749253,21.6782597774744,24.809407997952,47.8241345246486,"Links_pointing_to_page"
20.9186401913253,17.5170405819891,23.5288906279233,39.0488215622506,"age_of_domain"
13.5082489344126,21.240705020341,23.449021226414,38.214554487977,"Google_Index"
12.3768089262587,16.92638401584,19.6397208638646,34.7975297999659,"having_IPhaving_IP_Address"
15.1850311745553,11.7434858228177,17.1588894868373,31.2082051547331,"Page_Rank"
12.9654441798951,15.327317770917,17.2231501949529,28.9828270848499,"DNSRecord"
13.1633988757531,11.9998837451497,17.4580684674969,20.534579951355,"URLURL_Length"
11.6122008815296,15.6009942720715,18.8699007287906,17.2955783724501,"Submitting_to_email"
9.97738919138036,9.99020292802713,13.2448598489901,16.3392294575138,"popUpWidnow"
7.43301395818393,14.9186659513174,15.8191673929905,16.3329521175698,"Redirect"
9.14777042888993,10.4694572424509,11.9442312656525,16.150928078459,"Shortining_Service"
9.31104204244141,10.9081376126049,13.3018582841327,15.9699908194976,"HTTPS_token"
10.8052198296224,11.3126857736598,13.2327802120307,14.5967362050648,"Abnormal_URL"
6.95069848011638,11.7343095529559,13.224523977916,14.5302206799762,"Statistical_report"
8.79432616554265,9.87324407124825,12.4422142901442,13.9966924236898,"having_At_Symbol"
6.87223382439965,11.0335057711692,12.5706942043039,12.9759621825254,"Favicon"
3.61864627365402,9.72316905081815,10.4444781412642,10.5048936641786,"double_slash_redirecting"
10.0369817339823,10.038266199181,13.4306597289973,10.1282403655476,"on_mouseover"
7.22497743008382,8.59964404169691,11.0390264830373,9.57921969225216,"port"
8.67928316159751,8.51464957353128,11.3586328379362,7.58698548126909,"Iframe"
6.7853295531443,5.46943573359031,8.28780008535985,4.53983934664536,"RightClick"
